Year,Value,Units,Series
2006,8.5,Percent,GDP Growth Rate
2007,5.2,Percent,GDP Growth Rate
2008,6.4,Percent,GDP Growth Rate
2009,3.3,Percent,GDP Growth Rate
2010,1.6,Percent,GDP Growth Rate
2011,1.2,Percent,GDP Growth Rate
2012,1.8,Percent,GDP Growth Rate
2013,2.0,Percent,GDP Growth Rate
2014,2.3,Percent,GDP Growth Rate
2015,0.2,Percent,GDP Growth Rate
2016,3.5,Percent,GDP Growth Rate
2017,4.4,Percent,GDP Growth Rate
