Year,Value,Units,Series
2012,1.4,Percent,Underlying Inflation Rate
2013,1.5,Percent,Underlying Inflation Rate
2014,0.8,Percent,Underlying Inflation Rate
2015,2.5,Percent,Underlying Inflation Rate
2016,0.9,Percent,Underlying Inflation Rate
2017,3.1,Percent,Underlying Inflation Rate
