Year,Value,Units,Series
2006,-18627,Total,Balance of Trade
2007,-18322,Total,Balance of Trade
2008,-25946,Total,Balance of Trade
2009,-24936,Total,Balance of Trade
2010,-22792,Total,Balance of Trade
2011,-21243,Total,Balance of Trade
2012,-22381,Total,Balance of Trade
2013,-26000,Total,Balance of Trade
2014,-24335,Total,Balance of Trade
2015,-35749,Total,Balance of Trade
2016,-35962,Total,Balance of Trade
2017,-33370,Total,Balance of Trade
2018,-31656,Total,Balance of Trade
