Year,Units,Series,Value
2006,Total,Balance of Trade,-18627
2007,Total,Balance of Trade,-18322
2008,Total,Balance of Trade,-25946
2009,Total,Balance of Trade,-24936
2010,Total,Balance of Trade,-22792
2011,Total,Balance of Trade,-21243
2012,Total,Balance of Trade,-22381
2013,Total,Balance of Trade,-26000
2014,Total,Balance of Trade,-24335
2015,Total,Balance of Trade,-35749
2016,Total,Balance of Trade,-35962
2017,Total,Balance of Trade,-33370
2018,Total,Balance of Trade,-31656
