Year,Units,Series,Value
2012,Percent,Underlying Inflation Rate,1.4
2013,Percent,Underlying Inflation Rate,1.5
2014,Percent,Underlying Inflation Rate,0.8
2015,Percent,Underlying Inflation Rate,2.5
2016,Percent,Underlying Inflation Rate,0.9
2017,Percent,Underlying Inflation Rate,3.1
