Year,Units,Series,Value
2006,Percent,GDP Growth Rate,8.5
2007,Percent,GDP Growth Rate,5.2
2008,Percent,GDP Growth Rate,6.4
2009,Percent,GDP Growth Rate,3.3
2010,Percent,GDP Growth Rate,1.6
2011,Percent,GDP Growth Rate,1.2
2012,Percent,GDP Growth Rate,1.8
2013,Percent,GDP Growth Rate,2.0
2014,Percent,GDP Growth Rate,2.3
2015,Percent,GDP Growth Rate,0.2
2016,Percent,GDP Growth Rate,3.5
2017,Percent,GDP Growth Rate,4.4
