Year,Value,Units,Series
2006,8.5,Percent,31120
2007,5.2,Percent,31120
2008,6.4,Percent,31120
2009,3.3,Percent,31120
2010,1.6,Percent,31120
2011,1.2,Percent,31120
2012,1.8,Percent,31120
2013,2.0,Percent,31120
2014,2.3,Percent,31120
2015,0.2,Percent,31120
2016,3.5,Percent,31120
2017,4.4,Percent,31120
