Year,Value,Units,Series
2006,-18627,Total,31530
2007,-18322,Total,31530
2008,-25946,Total,31530
2009,-24936,Total,31530
2010,-22792,Total,31530
2011,-21243,Total,31530
2012,-22381,Total,31530
2013,-26000,Total,31530
2014,-24335,Total,31530
2015,-35749,Total,31530
2016,-35962,Total,31530
2017,-33370,Total,31530
2018,-31656,Total,31530
