Year,Value,Units,Series
2006,816,Total,31210
2007,1755,Total,31210
2008,4860,Total,31210
2009,211,Total,31210
2010,-370,Total,31210
2011,-1265,Total,31210
2012,357,Total,31210
2013,689,Total,31210
2014,2106,Total,31210
2015,7369,Total,31210
2016,-4057,Total,31210
2017,8055,Total,31210
