Year,Units,Series,Value
2006,Percent,31120,8.5
2007,Percent,31120,5.2
2008,Percent,31120,6.4
2009,Percent,31120,3.3
2010,Percent,31120,1.6
2011,Percent,31120,1.2
2012,Percent,31120,1.8
2013,Percent,31120,2.0
2014,Percent,31120,2.3
2015,Percent,31120,0.2
2016,Percent,31120,3.5
2017,Percent,31120,4.4
