Year,Units,Series,Value
2006,Total,31530,-18627
2007,Total,31530,-18322
2008,Total,31530,-25946
2009,Total,31530,-24936
2010,Total,31530,-22792
2011,Total,31530,-21243
2012,Total,31530,-22381
2013,Total,31530,-26000
2014,Total,31530,-24335
2015,Total,31530,-35749
2016,Total,31530,-35962
2017,Total,31530,-33370
2018,Total,31530,-31656
