Year,Units,Series,Value
2006,Total,31210,816
2007,Total,31210,1755
2008,Total,31210,4860
2009,Total,31210,211
2010,Total,31210,-370
2011,Total,31210,-1265
2012,Total,31210,357
2013,Total,31210,689
2014,Total,31210,2106
2015,Total,31210,7369
2016,Total,31210,-4057
2017,Total,31210,8055
